                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   3.08,                 3.9067,                 4.2045,                 2.0711,                0.15982,                0.31354,                0.11214,                0.03965,                0.13269,                0.26372,                0.07761,                0.01689,                 2.4259,                 3.5853,                 2.9936,                 1.7105,               0.070652,              0.0032609,              0.0032609
                      1,                 2.3821,                 2.8552,                 2.4951,                 1.5406,                0.29511,                0.31889,                0.18173,                0.06077,                0.20166,                0.25529,                 0.1063,                0.02555,                  2.323,                 3.1857,                 2.2865,                 1.6172,               0.040522,              0.0064636,              0.0064636
                      2,                 2.4367,                 2.9173,                 2.3953,                 1.5053,                0.29156,                  0.334,                0.20576,                0.06852,                0.22421,                0.25414,                0.12765,                0.02672,                 2.3991,                 4.3144,                 2.2057,                 1.5796,               0.010259,              0.0095344,              0.0095344
                      3,                 2.3681,                 2.9132,                   2.21,                 1.4861,                0.32579,                0.37437,                 0.2473,                0.09051,                0.26451,                0.24658,                0.14338,                0.03516,                 2.2826,                 4.1206,                  2.109,                  1.512,               0.009406,               0.009406,               0.009406
                      4,                 2.3698,                 2.8716,                 2.0863,                  1.499,                0.31399,                0.31157,                0.24081,                0.08438,                0.29551,                0.30035,                0.19429,                0.04759,                 2.2933,                  3.103,                 2.0377,                  1.605,               0.009406,               0.009406,               0.009406
                      5,                 2.3516,                 2.7403,                 2.0543,                 1.4767,                 0.2981,                0.30116,                0.21377,                0.06711,                0.27444,                0.27035,                0.16363,                0.03997,                 2.4301,                 3.7008,                 2.0369,                 1.5866,               0.009208,               0.009208,               0.009208
                      6,                 2.3172,                 2.7627,                 1.9932,                 1.4763,                0.32826,                0.35808,                0.27054,                0.09538,                0.26639,                0.30155,                0.18467,                0.04624,                 2.2033,                 3.6329,                 1.9002,                 1.5488,                0.00901,                0.00901,                0.00901
                      7,                   2.29,                 2.6981,                 1.9714,                 1.4769,                 0.3792,                 0.3754,                0.29794,                0.10673,                0.28654,                0.28677,                0.20326,                0.05341,                 2.2368,                 3.5339,                 1.8891,                 1.5454,               0.008812,               0.008812,               0.008812
                      8,                 2.2729,                 2.5904,                 1.8854,                 1.4544,                0.34253,                0.35349,                0.28002,                0.09344,                0.22181,                0.30449,                0.17001,                 0.0398,                 2.2379,                 3.1705,                 1.9782,                 1.4937,               0.008614,               0.008614,               0.008614
                      9,                 2.2492,                  2.669,                 1.8753,                 1.4369,                0.31491,                0.32574,                0.23355,                0.08894,                 0.2499,                0.24896,                0.16136,                0.04307,                 2.2364,                 3.6694,                 2.0891,                 1.4993,               0.008416,               0.008416,               0.008416
